"X0L","Var1","Freq","Test_group"
0,"PWY.6317..galactose.degradation.I..Leloir.pathway._MAX",61,"BacMAX"
0,"PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation_MAX",83,"BacMAX"
0,"PWY0.862...5Z..dodec.5.enoate.biosynthesis_MAX",38,"BacMAX"
0,"Salmonella_enterica_vir",27,"BacMAX"
0,"Salmonella_vir",87,"BacMAX"
0,"Shigella_vir",94,"BacMAX"
0,"X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis_MAX",28,"BacMAX"
0,"ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation_path",40,"AllVars"
0,"ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis_path",48,"AllVars"
0,"AST.PWY..L.arginine.degradation.II..AST.pathway._path",26,"AllVars"
0,"CODH.PWY..reductive.acetyl.coenzyme.A.pathway_MAX",34,"AllVars"
0,"ECASYN.PWY..enterobacterial.common.antigen.biosynthesis_path",78,"AllVars"
0,"FERMENTATION.PWY..mixed.acid.fermentation_path",100,"AllVars"
0,"GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose._path",73,"AllVars"
0,"GLYOXYLATE.BYPASS..glyoxylate.cycle_path",57,"AllVars"
0,"Klebsiella_vir",63,"AllVars"
0,"ORNARGDEG.PWY..superpathway.of.L.arginine.and.L.ornithine.degradation_path",44,"AllVars"
0,"P221.PWY..octane.oxidation_path",51,"AllVars"
0,"P42.PWY..incomplete.reductive.TCA.cycle_path",47,"AllVars"
0,"PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I_MAX",34,"AllVars"
0,"PWY.5005..biotin.biosynthesis.II_path",59,"AllVars"
0,"PWY.5913..TCA.cycle.VI..obligate.autotrophs._path",84,"AllVars"
0,"PWY.6113..superpathway.of.mycolate.biosynthesis_path",96,"AllVars"
0,"PWY.6317..galactose.degradation.I..Leloir.pathway._MAX",29,"AllVars"
0,"PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type_path",96,"AllVars"
0,"PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation_MAX",59,"AllVars"
0,"Shigella_vir",34,"AllVars"
0,"Veillonella_iRep",26,"AllVars"
