"Days_before_onset","Feature","Freq","Dataset"
1,"X1360511410.SPD96884_1.1.1.silC.silC..1.COPPER_SILVER.COPPER_SILVER.Cu..._Ag..._efflux_RND_transporter_outer_membrane_channel_SilC_rest",100,"BacRest"
1,"X4206624.AAD11743_1.1.1.silE.silE..1.SILVER.SILVER.silver.binding_protein_SilE_rest",26,"BacRest"
1,"X4206630.AAD11749_1.1.1.silA.silA..1.COPPER_SILVER.COPPER_SILVER.Cu..._Ag..._efflux_RND_transporter_permease_subunit_SilA_rest",98,"BacRest"
1,"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis_path",29,"AllVars"
1,"DLFM04_01197.Control.TwinA.Time1_CHL_6.gene.3...838.1221.complete_rest.x",99,"AllVars"
1,"DLFM04_01197.Control.TwinA.Time1_CHL_6.gene.3...838.1221.complete_rest.y",100,"AllVars"
1,"PWY.5005..biotin.biosynthesis.II_path",97,"AllVars"
1,"PWY.5097..L.lysine.biosynthesis.VI_path",29,"AllVars"
1,"PWY.5667..CDP.diacylglycerol.biosynthesis.I_MAX",56,"AllVars"
1,"PWY.5686..UMP.biosynthesis_MAX",77,"AllVars"
1,"PWY.5686..UMP.biosynthesis_path",50,"AllVars"
1,"PWY.6527..stachyose.degradation_MAX",96,"AllVars"
1,"PWY.6700..queuosine.biosynthesis_path",99,"AllVars"
1,"PWY0.1319..CDP.diacylglycerol.biosynthesis.II_MAX",47,"AllVars"
1,"PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I_MAX",58,"AllVars"
1,"TEICHOICACID.PWY..teichoic.acid..poly.glycerol..biosynthesis_path",97,"AllVars"
1,"X1360511410.SPD96884_1.1.1.silC.silC..1.COPPER_SILVER.COPPER_SILVER.Cu..._Ag..._efflux_RND_transporter_outer_membrane_channel_SilC_rest.x",41,"AllVars"
1,"X1360511410.SPD96884_1.1.1.silC.silC..1.COPPER_SILVER.COPPER_SILVER.Cu..._Ag..._efflux_RND_transporter_outer_membrane_channel_SilC_rest.y",45,"AllVars"
1,"X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis_path",33,"AllVars"
1,"X4206630.AAD11749_1.1.1.silA.silA..1.COPPER_SILVER.COPPER_SILVER.Cu..._Ag..._efflux_RND_transporter_permease_subunit_SilA_rest.x",33,"AllVars"
1,"X4206630.AAD11749_1.1.1.silA.silA..1.COPPER_SILVER.COPPER_SILVER.Cu..._Ag..._efflux_RND_transporter_permease_subunit_SilA_rest.y",39,"AllVars"
2,"DLFM04_03369.AmoxConc.TwinB.Time1_FOX_6.gene.1...8.445.complete_rest",69,"BacRest"
2,"DLFM06_00591.2.B8_TET_16.gene.1...103.972.complete_rest",98,"BacRest"
2,"DLFM06_01175.1.G7_CHL_4.gene.2...558.1790.complete_rest",100,"BacRest"
2,"DLFM07_04842.08G.000_AMX_12.gene.1...199.1425.complete_rest",44,"BacRest"
2,"DLFM10_00815.F18_FEP_31.gene.2...545.1312.complete_rest",100,"BacRest"
2,"DLFM10_01674.F3_AMX_5.gene.3...1791.2351.complete_rest",54,"BacRest"
2,"gb.BAE77933_1.ARO_3000518.CRP__Escherichia_coli_rest",100,"BacRest"
2,"MUPIROCIN_rest",26,"BacRest"
2,"TRICLOSAN_rest",100,"BacRest"
2,"X0.WP_000506490_1.1.1.fabI.fabI.mutation.2...enoyl._acyl.carrier.protein__reductase_FabI_rest",100,"BacRest"
2,"X1011600567.WP_002389492_1.1.1.gshF.gshF.mutation.2...bifunctional_glutamate..cysteine_ligase_glutathione_synthetase_GshF_rest",42,"BacRest"
2,"X29344842.WP_002355137_1.1.1.liaR.liaR.mutation.2...response_regulator_transcription_factor_LiaR_rest",39,"BacRest"
2,"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose._path",100,"AllVars"
2,"DLFM10_00815.F18_FEP_31.gene.2...545.1312.complete_rest.x",97,"AllVars"
2,"DLFM10_00815.F18_FEP_31.gene.2...545.1312.complete_rest.y",99,"AllVars"
2,"FUCCAT.PWY..fucose.degradation_path",100,"AllVars"
2,"GALACTARDEG.PWY..D.galactarate.degradation.I_path",100,"AllVars"
2,"GALACTUROCAT.PWY..D.galacturonate.degradation.I_path",100,"AllVars"
2,"gb.BAE77933_1.ARO_3000518.CRP__Escherichia_coli_rest.x",77,"AllVars"
2,"gb.BAE77933_1.ARO_3000518.CRP__Escherichia_coli_rest.y",76,"AllVars"
2,"GLUCARDEG.PWY..D.glucarate.degradation.I_MAX",38,"AllVars"
2,"GLUCARDEG.PWY..D.glucarate.degradation.I_path",27,"AllVars"
2,"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation_path",100,"AllVars"
2,"HSERMETANA.PWY..L.methionine.biosynthesis.III_path",87,"AllVars"
2,"NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.II_MAX",80,"AllVars"
2,"PWY.2942..L.lysine.biosynthesis.III_path",100,"AllVars"
2,"PWY.3841..folate.transformations.II_path",51,"AllVars"
2,"PWY.5005..biotin.biosynthesis.II_path",100,"AllVars"
2,"PWY.5097..L.lysine.biosynthesis.VI_path",100,"AllVars"
2,"PWY.5173..superpathway.of.acetyl.CoA.biosynthesis_path",38,"AllVars"
2,"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I_path",100,"AllVars"
2,"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II_path",100,"AllVars"
2,"PWY.6151..S.adenosyl.L.methionine.cycle.I_path",48,"AllVars"
2,"PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate_path",100,"AllVars"
2,"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis_path",98,"AllVars"
2,"PWY.6527..stachyose.degradation_MAX",91,"AllVars"
2,"PWY.6700..queuosine.biosynthesis_path",100,"AllVars"
2,"PWY.6936..seleno.amino.acid.biosynthesis_MAX",69,"AllVars"
2,"PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation_MAX",70,"AllVars"
2,"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis_path",100,"AllVars"
2,"PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II_path",98,"AllVars"
2,"TCA..TCA.cycle.I..prokaryotic._MAX",100,"AllVars"
2,"TEICHOICACID.PWY..teichoic.acid..poly.glycerol..biosynthesis_path",37,"AllVars"
2,"TRICLOSAN_rest.x",99,"AllVars"
2,"TRICLOSAN_rest.y",98,"AllVars"
2,"X0.WP_000506490_1.1.1.fabI.fabI.mutation.2...enoyl._acyl.carrier.protein__reductase_FabI_rest.x",100,"AllVars"
2,"X0.WP_000506490_1.1.1.fabI.fabI.mutation.2...enoyl._acyl.carrier.protein__reductase_FabI_rest.y",100,"AllVars"
3,"COLISTIN_rest",100,"BacRest"
3,"DLFM06_00400.4.C8_CHL_4.gene.2...695.1795.complete_rest",99,"BacRest"
3,"DLFM06_00667.2.B7_TET_18.gene.5...3374.3745.complete_rest",54,"BacRest"
3,"DLFM07_00347.0607.0607a_TET_15.gene.2...742.1083.complete_rest",31,"BacRest"
3,"DLFM13_04515.CBP15SR2_CHL_16.gene.1...231.1673.complete_rest",100,"BacRest"
3,"gb.BAC11911_1.ARO_3003551.emeA__Enterococcus_faecalis_rest",100,"BacRest"
3,"gb.EOD99669_1.ARO_3002875.dfrE__Enterococcus_faecalis_rest",35,"BacRest"
3,"LINCOSAMIDE.STREPTOGRAMIN_rest",100,"BacRest"
3,"LIPOPEPTIDE_rest",100,"BacRest"
3,"X0.WP_000506490_1.1.1.fabI.fabI.mutation.2...enoyl._acyl.carrier.protein__reductase_FabI_rest",100,"BacRest"
3,"X0.WP_000888203_1.1.1.oqxR.oqxR.mutation.2...Rrf2_family_transcriptional_regulator_OqxR_rest",86,"BacRest"
3,"X0.WP_002892080_1.1.1.acrR.acrR.mutation.2...transcriptional_regulator_AcrR_rest",99,"BacRest"
3,"X1011600567.WP_002389492_1.1.1.gshF.gshF.mutation.2...bifunctional_glutamate..cysteine_ligase_glutathione_synthetase_GshF_rest",100,"BacRest"
3,"X1028105873.WP_063860896_1.1.1.blaOKP.A.1.blaOKP.A.hydrolase.2.BETA.LACTAM.BETA.LACTAM.class_A_broad.spectrum_beta.lactamase_OKP.A.1_rest",100,"BacRest"
3,"X20152201.BAB89353_1.1.1.fieF.fieF..1...CDF_family_cation.efflux_transporter_FieF_rest",100,"BacRest"
3,"X29342129.WP_002356022_1.1.1.yybT.yybT.mutation.2...cyclic_dinucleotide_phosphodiesterase_YybT_rest",100,"BacRest"
3,"X29344843.WP_002365182_1.1.1.liaS.liaS.mutation.2...sensor_histidine_kinase_LiaS_rest",100,"BacRest"
3,"X29344844.WP_002381168_1.1.1.liaF.liaF.mutation.2...three.component_signaling_pathway_regulator_LiaF_rest",100,"BacRest"
3,"X327534217.WP_002413481_1.1.1.cls.cls.mutation.2...cardiolipin_synthase_Cls_rest",100,"BacRest"
3,"X40218082.AAR82964_1.1.1.nirB.nirB..1.NICKEL.NICKEL.nickel.sensing_transcriptional_repressor_NirB_rest",55,"BacRest"
3,"X488300672.WP_002371880_1.1.1.parC.parC.mutation.2...DNA_topoisomerase_IV_subunit_A_ParC_rest",100,"BacRest"
3,"X489000713.WP_002911375_1.1.1.mgrB.mgrB.mutation.2...PhoP_PhoQ_regulator_MgrB_rest",99,"BacRest"
3,"X490252783.WP_004150807_1.1.1.phoP.phoP.mutation.2...two.component_system_response_regulator_PhoP_rest",100,"BacRest"
3,"X490288705.WP_004184324_1.1.1.crrB.crrB.mutation.2...HAMP_domain.containing_histidine_kinase_CrrB_rest",100,"BacRest"
3,"X727330535.WP_033785346_1.1.1.gyrA.gyrA.mutation.2...DNA_gyrase_subunit_A_GyrA_rest",100,"BacRest"
3,"ARGDEG.PWY..superpathway.of.L.arginine..putrescine..and.4.aminobutanoate.degradation_path",100,"AllVars"
3,"ARO.PWY..chorismate.biosynthesis.I_path",98,"AllVars"
3,"ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis_path",100,"AllVars"
3,"AST.PWY..L.arginine.degradation.II..AST.pathway._path",100,"AllVars"
3,"DLFM13_04515.CBP15SR2_CHL_16.gene.1...231.1673.complete_rest.x",97,"AllVars"
3,"DLFM13_04515.CBP15SR2_CHL_16.gene.1...231.1673.complete_rest.y",99,"AllVars"
3,"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I_MAX",98,"AllVars"
3,"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I_path",97,"AllVars"
3,"FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation_path",100,"AllVars"
3,"FUCCAT.PWY..fucose.degradation_path",100,"AllVars"
3,"GLUCARDEG.PWY..D.glucarate.degradation.I_path",93,"AllVars"
3,"GLYOXYLATE.BYPASS..glyoxylate.cycle_path",100,"AllVars"
3,"GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol_path",100,"AllVars"
3,"HCAMHPDEG.PWY..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation.to.2.oxopent.4.enoate_path",100,"AllVars"
3,"HEMESYN2.PWY..heme.biosynthesis.II..anaerobic._path",99,"AllVars"
3,"LIPOPEPTIDE_rest.x",99,"AllVars"
3,"LIPOPEPTIDE_rest.y",100,"AllVars"
3,"OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli._MAX",41,"AllVars"
3,"ORNARGDEG.PWY..superpathway.of.L.arginine.and.L.ornithine.degradation_path",100,"AllVars"
3,"P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle._path",98,"AllVars"
3,"PWY.1042..glycolysis.IV..plant.cytosol._path",96,"AllVars"
3,"PWY.5005..biotin.biosynthesis.II_path",100,"AllVars"
3,"PWY.5686..UMP.biosynthesis_path",100,"AllVars"
3,"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I_path",97,"AllVars"
3,"PWY.6123..inosine.5..phosphate.biosynthesis.I_path",100,"AllVars"
3,"PWY.6124..inosine.5..phosphate.biosynthesis.II_path",100,"AllVars"
3,"PWY.6151..S.adenosyl.L.methionine.cycle.I_path",100,"AllVars"
3,"PWY.6185..4.methylcatechol.degradation..ortho.cleavage._path",55,"AllVars"
3,"PWY.6690..cinnamate.and.3.hydroxycinnamate.degradation.to.2.oxopent.4.enoate_path",100,"AllVars"
3,"PWY.6803..phosphatidylcholine.acyl.editing_path",100,"AllVars"
3,"PWY.6897..thiamin.salvage.II_path",100,"AllVars"
3,"PWY.7013..L.1.2.propanediol.degradation_path",100,"AllVars"
3,"PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type_path",26,"AllVars"
3,"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis_path",100,"AllVars"
3,"PWY.7234..inosine.5..phosphate.biosynthesis.III_path",99,"AllVars"
3,"PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I_path",99,"AllVars"
3,"PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation_path",100,"AllVars"
3,"PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing._path",95,"AllVars"
3,"PWY66.409..superpathway.of.purine.nucleotide.salvage_path",67,"AllVars"
3,"SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis_path",75,"AllVars"
3,"X490288705.WP_004184324_1.1.1.crrB.crrB.mutation.2...HAMP_domain.containing_histidine_kinase_CrrB_rest.x",98,"AllVars"
3,"X490288705.WP_004184324_1.1.1.crrB.crrB.mutation.2...HAMP_domain.containing_histidine_kinase_CrrB_rest.y",96,"AllVars"
3,"X727330535.WP_033785346_1.1.1.gyrA.gyrA.mutation.2...DNA_gyrase_subunit_A_GyrA_rest.x",77,"AllVars"
3,"X727330535.WP_033785346_1.1.1.gyrA.gyrA.mutation.2...DNA_gyrase_subunit_A_GyrA_rest.y",78,"AllVars"
4,"COLISTIN_rest",100,"BacRest"
4,"DLFM04_00642.Control.TwinA.Time3_CAZ_29.gene.3...774.2540.complete_rest",99,"BacRest"
4,"DLFM04_03625.AmoxConc.TwinA.Time1_CHL_1.gene.3...2347.2676.complete_rest",100,"BacRest"
4,"DLFM06_00140.5.A5_TET_20.gene.2...387.1685.complete_rest",30,"BacRest"
4,"DLFM06_00140.5.A5_TET_20.gene.3...1723.2259.complete_rest",34,"BacRest"
4,"DLFM06_00667.2.B7_TET_18.gene.5...3374.3745.complete_rest",96,"BacRest"
4,"DLFM06_01881.1.A5_TET_8.gene.4...2558.2899.complete_rest",99,"BacRest"
4,"DLFM10_00815.F18_FEP_31.gene.2...545.1312.complete_rest",100,"BacRest"
4,"DLFM13_04515.CBP15SR2_CHL_16.gene.1...231.1673.complete_rest",100,"BacRest"
4,"TETRACYCLINE_rest",49,"BacRest"
4,"TRICLOSAN_rest",100,"BacRest"
4,"X0.WP_000506490_1.1.1.fabI.fabI.mutation.2...enoyl._acyl.carrier.protein__reductase_FabI_rest",100,"BacRest"
4,"X1028099835.WP_063856107_1.1.1.tet.M..tet.M..target_protection.2.TETRACYCLINE.TETRACYCLINE.tetracycline_resistance_ribosomal_protection_protein_Tet.M._rest",100,"BacRest"
4,"X3818601.AAC69584_1.1.1.ybtQ.ybtQ..1...yersiniabactin_ABC_transporter_ATP.binding_permease_protein_YbtQ_rest",72,"BacRest"
4,"X490252783.WP_004150807_1.1.1.phoP.phoP.mutation.2...two.component_system_response_regulator_PhoP_rest",100,"BacRest"
4,"X490288705.WP_004184324_1.1.1.crrB.crrB.mutation.2...HAMP_domain.containing_histidine_kinase_CrrB_rest",48,"BacRest"
4,"X504719719.WP_014906821_1.1.1.arnC.arnC.mutation.2...undecaprenyl.phosphate_4.deoxy.4.formamido.L.arabinose_transferase_ArnC_rest",100,"BacRest"
4,"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis_path",60,"AllVars"
4,"DLFM13_04515.CBP15SR2_CHL_16.gene.1...231.1673.complete_rest.x",80,"AllVars"
4,"DLFM13_04515.CBP15SR2_CHL_16.gene.1...231.1673.complete_rest.y",88,"AllVars"
4,"FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation_path",95,"AllVars"
4,"FUCCAT.PWY..fucose.degradation_path",90,"AllVars"
4,"GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation_path",94,"AllVars"
4,"GLYCOCAT.PWY..glycogen.degradation.I..bacterial._path",95,"AllVars"
4,"HEMESYN2.PWY..heme.biosynthesis.II..anaerobic._path",95,"AllVars"
4,"LACTOSECAT.PWY..lactose.and.galactose.degradation.I_path",69,"AllVars"
4,"PWY.2723..trehalose.degradation.V_path",100,"AllVars"
4,"PWY.5097..L.lysine.biosynthesis.VI_path",100,"AllVars"
4,"PWY.5686..UMP.biosynthesis_path",50,"AllVars"
4,"PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation_path",94,"AllVars"
4,"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I_path",100,"AllVars"
4,"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II_path",99,"AllVars"
4,"PWY.6123..inosine.5..phosphate.biosynthesis.I_path",26,"AllVars"
4,"PWY.6124..inosine.5..phosphate.biosynthesis.II_path",90,"AllVars"
4,"PWY.6151..S.adenosyl.L.methionine.cycle.I_path",98,"AllVars"
4,"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis_path",100,"AllVars"
4,"PWY.6519..8.amino.7.oxononanoate.biosynthesis.I_path",30,"AllVars"
4,"PWY.6527..stachyose.degradation_MAX",99,"AllVars"
4,"PWY.6700..queuosine.biosynthesis_path",100,"AllVars"
4,"PWY.6737..starch.degradation.V_MAX",60,"AllVars"
4,"PWY.6803..phosphatidylcholine.acyl.editing_path",96,"AllVars"
4,"PWY.6892..thiazole.biosynthesis.I..E..coli._MAX",40,"AllVars"
4,"PWY.7013..L.1.2.propanediol.degradation_MAX",100,"AllVars"
4,"PWY.7013..L.1.2.propanediol.degradation_path",100,"AllVars"
4,"PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis_path",100,"AllVars"
4,"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis_path",93,"AllVars"
4,"PWY.7234..inosine.5..phosphate.biosynthesis.III_path",97,"AllVars"
4,"PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I_path",99,"AllVars"
4,"PWY0.781..aspartate.superpathway_path",98,"AllVars"
4,"SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis_path",92,"AllVars"
4,"TRNA.CHARGING.PWY..tRNA.charging_path",93,"AllVars"
4,"UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I_path",100,"AllVars"
5,"COLISTIN_rest",100,"BacRest"
5,"DLFM06_00146.5.A5_TET_14.gene.2...401.1270.complete_rest",52,"BacRest"
5,"DLFM06_01065.1.G7_TET_3.gene.3...741.1121.complete_rest",81,"BacRest"
5,"DLFM10_00815.F18_FEP_31.gene.2...545.1312.complete_rest",100,"BacRest"
5,"DLFM10_01815.F2_CHL_16.gene.3...1158.2390.complete_rest",97,"BacRest"
5,"DLFM10_02828.F14_AMC_69.gene.1...18.776.complete_rest",94,"BacRest"
5,"DLFM11_02069.P09SR2_CHL_12.gene.2...460.1341.complete_rest",96,"BacRest"
5,"EFFLUX_rest",100,"BacRest"
5,"gb.ABG77965_1.ARO_3004042.Eclo_acrA__Enterobacter_cloacae__rest",59,"BacRest"
5,"gb.EOD99669_1.ARO_3002875.dfrE__Enterococcus_faecalis_rest",92,"BacRest"
5,"LINCOSAMIDE.STREPTOGRAMIN_rest",85,"BacRest"
5,"LIPOPEPTIDE_rest",99,"BacRest"
5,"MULTIDRUG_rest",100,"BacRest"
5,"TRICLOSAN_rest",100,"BacRest"
5,"X0.WP_000506490_1.1.1.fabI.fabI.mutation.2...enoyl._acyl.carrier.protein__reductase_FabI_rest",100,"BacRest"
5,"X1360511410.SPD96884_1.1.1.silC.silC..1.COPPER_SILVER.COPPER_SILVER.Cu..._Ag..._efflux_RND_transporter_outer_membrane_channel_SilC_rest",26,"BacRest"
5,"X29342129.WP_002356022_1.1.1.yybT.yybT.mutation.2...cyclic_dinucleotide_phosphodiesterase_YybT_rest",95,"BacRest"
5,"X445994192.WP_000072047_1.1.1.gyrB.gyrB.mutation.2...DNA_topoisomerase_.ATP.hydrolyzing._subunit_B_GyrB_rest",93,"BacRest"
5,"X487566233.WP_001718014_1.1.1.fabG.fabG.mutation.2...beta.ketoacyl.ACP_reductase_FabG_rest",91,"BacRest"
5,"X490288705.WP_004184324_1.1.1.crrB.crrB.mutation.2...HAMP_domain.containing_histidine_kinase_CrrB_rest",99,"BacRest"
5,"X643377288.WP_025205684_1.1.1.fosA2.fos_A_A2.thiol_transferase.2.FOSFOMYCIN.FOSFOMYCIN.fosfomycin_resistance_glutathione_transferase_FosA2_rest",51,"BacRest"
5,"ARO.PWY..chorismate.biosynthesis.I_path",81,"AllVars"
5,"COA.PWY..coenzyme.A.biosynthesis.I_path",100,"AllVars"
5,"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis_path",100,"AllVars"
5,"FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation_path",100,"AllVars"
5,"FUCCAT.PWY..fucose.degradation_path",100,"AllVars"
5,"GALACT.GLUCUROCAT.PWY..superpathway.of.hexuronide.and.hexuronate.degradation_path",100,"AllVars"
5,"GLUCONEO.PWY..gluconeogenesis.I_MAX",79,"AllVars"
5,"GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronide.and.D.glucuronate.degradation_path",99,"AllVars"
5,"HCAMHPDEG.PWY..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation.to.2.oxopent.4.enoate_path",100,"AllVars"
5,"HEMESYN2.PWY..heme.biosynthesis.II..anaerobic._MAX",97,"AllVars"
5,"HEMESYN2.PWY..heme.biosynthesis.II..anaerobic._path",86,"AllVars"
5,"KETOGLUCONMET.PWY..ketogluconate.metabolism_path",88,"AllVars"
5,"LACTOSECAT.PWY..lactose.and.galactose.degradation.I_path",91,"AllVars"
5,"P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase._path",93,"AllVars"
5,"PANTO.PWY..phosphopantothenate.biosynthesis.I_path",98,"AllVars"
5,"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing._path",100,"AllVars"
5,"PWY.2942..L.lysine.biosynthesis.III_path",86,"AllVars"
5,"PWY.5097..L.lysine.biosynthesis.VI_path",98,"AllVars"
5,"PWY.5686..UMP.biosynthesis_path",99,"AllVars"
5,"PWY.5690..TCA.cycle.II..plants.and.fungi._path",90,"AllVars"
5,"PWY.6123..inosine.5..phosphate.biosynthesis.I_path",100,"AllVars"
5,"PWY.6124..inosine.5..phosphate.biosynthesis.II_path",100,"AllVars"
5,"PWY.6147..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.I_path",86,"AllVars"
5,"PWY.6151..S.adenosyl.L.methionine.cycle.I_path",97,"AllVars"
5,"PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate_path",33,"AllVars"
5,"PWY.6317..galactose.degradation.I..Leloir.pathway._path",97,"AllVars"
5,"PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing._path",100,"AllVars"
5,"PWY.6629..superpathway.of.L.tryptophan.biosynthesis_path",100,"AllVars"
5,"PWY.6690..cinnamate.and.3.hydroxycinnamate.degradation.to.2.oxopent.4.enoate_path",100,"AllVars"
5,"PWY.6700..queuosine.biosynthesis_path",100,"AllVars"
5,"PWY.6891..thiazole.biosynthesis.II..Bacillus._path",93,"AllVars"
5,"PWY.6895..superpathway.of.thiamin.diphosphate.biosynthesis.II_path",100,"AllVars"
5,"PWY.6969..TCA.cycle.V..2.oxoglutarate.ferredoxin.oxidoreductase._path",92,"AllVars"
5,"PWY.7013..L.1.2.propanediol.degradation_MAX",51,"AllVars"
5,"PWY.7013..L.1.2.propanediol.degradation_path",100,"AllVars"
5,"PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation_path",96,"AllVars"
5,"PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis_path",98,"AllVars"
5,"PWY.7234..inosine.5..phosphate.biosynthesis.III_path",100,"AllVars"
5,"PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II_path",100,"AllVars"
5,"PWY.7254..TCA.cycle.VII..acetate.producers._path",82,"AllVars"
5,"PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I_path",100,"AllVars"
5,"PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation_path",100,"AllVars"
5,"PWY66.409..superpathway.of.purine.nucleotide.salvage_path",98,"AllVars"
5,"PWY66.422..D.galactose.degradation.V..Leloir.pathway._path",99,"AllVars"
5,"RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants._path",100,"AllVars"
5,"X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis_path",99,"AllVars"
6,"COLISTIN_rest",100,"BacRest"
6,"DLFM04_00642.Control.TwinA.Time3_CAZ_29.gene.3...774.2540.complete_rest",100,"BacRest"
